Date,Control_CTP,Control_Clicks,Control_Enrollments,Control_GrossConversion,Control_NetConversion,Control_OutcomeComplete,Control_Pageviews,Control_PayPerEnrollment,Control_Payments,Control_Weekday,Experiment_CTP,Experiment_Clicks,Experiment_Enrollments,Experiment_GrossConversion,Experiment_NetConversion,Experiment_OutcomeComplete,Experiment_Pageviews,Experiment_PayPerEnrollment,Experiment_Payments,Experiment_Weekday
2014-10-30,0.07854467629748528,734,167.0,0.22752043596730245,0.10217983651226158,True,9345,0.4491017964071856,75.0,Thu,0.0782122905027933,728,207.0,0.28434065934065933,0.09203296703296704,True,9308,0.32367149758454106,67.0,Thu
2014-10-31,0.07941507311586052,706,174.0,0.24645892351274787,0.14305949008498584,True,8890,0.5804597701149425,101.0,Fri,0.08284566838783707,722,182.0,0.2520775623268698,0.1703601108033241,True,8715,0.6758241758241759,123.0,Fri
2014-11-01,0.08049645390070923,681,156.0,0.2290748898678414,0.13656387665198239,True,8460,0.5961538461538461,93.0,Sat,0.08226799242424243,695,142.0,0.20431654676258992,0.14388489208633093,True,8448,0.704225352112676,100.0,Sat
2014-11-02,0.07842915346310547,693,206.0,0.2972582972582973,0.09668109668109669,True,8836,0.32524271844660196,67.0,Sun,0.0819375282933454,724,182.0,0.2513812154696133,0.14226519337016574,True,8836,0.5659340659340659,103.0,Sun
2014-11-03,0.08350111264172937,788,,,,False,9437,,,Mon,0.08430387861951064,789,,,,False,9359,,,Mon
2014-11-04,0.08290870488322717,781,,,,False,9420,,,Tue,0.0788161663307521,743,,,,False,9427,,,Tue
2014-11-05,0.08411703239289446,805,,,,False,9570,,,Wed,0.08387833489048065,808,,,,False,9633,,,Wed
2014-11-06,0.08366092127809696,830,,,,False,9921,,,Thu,0.08443405811826865,831,,,,False,9842,,,Thu
2014-11-07,0.08287351443123939,781,,,,False,9424,,,Fri,0.08272217428817946,767,,,,False,9272,,,Fri
2014-11-08,0.08390677025527192,756,,,,False,9010,,,Sat,0.08473631397034229,760,,,,False,8969,,,Sat
2014-11-09,0.08543910521955261,825,,,,False,9656,,,Sun,0.08765597607507476,850,,,,False,9697,,,Sun
2014-11-10,0.08388520971302428,874,,,,False,10419,,,Mon,0.08147438966012446,851,,,,False,10445,,,Mon
2014-11-11,0.0840080971659919,830,,,,False,9880,,,Tue,0.08367737387977042,831,,,,False,9931,,,Tue
2014-11-12,0.07904085257548846,801,,,,False,10134,,,Wed,0.07986456881099382,802,,,,False,10042,,,Wed
2014-11-13,0.08377071112483277,814,,,,False,9717,,,Thu,0.08527929225388335,829,,,,False,9721,,,Thu
2014-11-14,0.07996083550913838,735,,,,False,9192,,,Fri,0.08276010318142735,770,,,,False,9304,,,Fri
2014-11-15,0.08609501738122827,743,,,,False,8630,,,Sat,0.08352561144439317,724,,,,False,8668,,,Sat
2014-11-16,0.08049052396878484,722,,,,False,8970,,,Sun,0.0789942145082332,710,,,,False,8988,,,Sun
