Date,Weekday,Group,Pageviews,Clicks,Enrollments,Payments,OutcomeComplete,CTP,GrossConversion,NetConversion,PayPerEnrollment
2014-10-19,Sun,Control,8459,691,131.0,60.0,True,0.0816881428064783,0.18958031837916064,0.08683068017366136,0.4580152671755725
2014-10-19,Sun,Experiment,8434,697,120.0,77.0,True,0.08264168840407873,0.17216642754662842,0.11047345767575323,0.6416666666666667
2014-10-20,Mon,Control,10667,861,165.0,97.0,True,0.08071622761788694,0.1916376306620209,0.11265969802555169,0.5878787878787879
2014-10-20,Mon,Experiment,10496,860,153.0,98.0,True,0.0819359756097561,0.17790697674418604,0.11395348837209303,0.6405228758169934
2014-10-21,Tue,Control,10660,867,196.0,105.0,True,0.08133208255159474,0.22606689734717417,0.12110726643598616,0.5357142857142857
2014-10-21,Tue,Experiment,10551,864,143.0,71.0,True,0.0818879727040091,0.16550925925925927,0.08217592592592593,0.4965034965034965
2014-10-22,Wed,Control,9947,838,162.0,92.0,True,0.08424650648436714,0.19331742243436753,0.10978520286396182,0.5679012345679012
2014-10-22,Wed,Experiment,9737,801,128.0,70.0,True,0.0822635308616617,0.15980024968789014,0.08739076154806492,0.546875
2014-10-23,Thu,Control,8324,665,127.0,56.0,True,0.07988947621335896,0.19097744360902255,0.08421052631578947,0.4409448818897638
2014-10-23,Thu,Experiment,8176,642,122.0,68.0,True,0.07852250489236791,0.19003115264797507,0.1059190031152648,0.5573770491803278
2014-10-24,Fri,Control,9434,673,220.0,122.0,True,0.0713377146491414,0.32689450222882616,0.1812778603268945,0.5545454545454546
2014-10-24,Fri,Experiment,9402,697,194.0,94.0,True,0.07413316315677515,0.2783357245337159,0.13486370157819225,0.4845360824742268
2014-10-25,Sat,Control,8687,691,176.0,128.0,True,0.07954414642569356,0.25470332850940663,0.18523878437047755,0.7272727272727273
2014-10-25,Sat,Experiment,8669,669,127.0,81.0,True,0.07717153074172338,0.1898355754857997,0.1210762331838565,0.6377952755905512
2014-10-26,Sun,Control,8896,708,161.0,104.0,True,0.0795863309352518,0.2274011299435028,0.14689265536723164,0.6459627329192547
2014-10-26,Sun,Experiment,8881,693,153.0,101.0,True,0.07803175318094809,0.22077922077922077,0.14574314574314573,0.6601307189542484
2014-10-27,Mon,Control,9535,759,233.0,124.0,True,0.07960146827477714,0.3069828722002635,0.16337285902503293,0.5321888412017167
2014-10-27,Mon,Experiment,9655,771,213.0,119.0,True,0.07985499741066805,0.27626459143968873,0.1543450064850843,0.5586854460093896
2014-10-28,Tue,Control,9363,736,154.0,91.0,True,0.0786072839901741,0.20923913043478262,0.12364130434782608,0.5909090909090909
2014-10-28,Tue,Experiment,9396,736,162.0,120.0,True,0.07833120476798637,0.22010869565217392,0.16304347826086957,0.7407407407407407
2014-10-29,Wed,Control,9327,739,196.0,86.0,True,0.07923233622815481,0.2652232746955345,0.11637347767253045,0.4387755102040816
2014-10-29,Wed,Experiment,9262,727,201.0,96.0,True,0.07849276614122219,0.2764786795048143,0.13204951856946354,0.47761194029850745
2014-10-30,Thu,Control,9345,734,167.0,75.0,True,0.07854467629748528,0.22752043596730245,0.10217983651226158,0.4491017964071856
2014-10-30,Thu,Experiment,9308,728,207.0,67.0,True,0.0782122905027933,0.28434065934065933,0.09203296703296704,0.32367149758454106
2014-10-31,Fri,Control,8890,706,174.0,101.0,True,0.07941507311586052,0.24645892351274787,0.14305949008498584,0.5804597701149425
2014-10-31,Fri,Experiment,8715,722,182.0,123.0,True,0.08284566838783707,0.2520775623268698,0.1703601108033241,0.6758241758241759
2014-11-01,Sat,Control,8460,681,156.0,93.0,True,0.08049645390070923,0.2290748898678414,0.13656387665198239,0.5961538461538461
2014-11-01,Sat,Experiment,8448,695,142.0,100.0,True,0.08226799242424243,0.20431654676258992,0.14388489208633093,0.704225352112676
2014-11-02,Sun,Control,8836,693,206.0,67.0,True,0.07842915346310547,0.2972582972582973,0.09668109668109669,0.32524271844660196
2014-11-02,Sun,Experiment,8836,724,182.0,103.0,True,0.0819375282933454,0.2513812154696133,0.14226519337016574,0.5659340659340659
2014-11-03,Mon,Control,9437,788,,,False,0.08350111264172937,,,
2014-11-03,Mon,Experiment,9359,789,,,False,0.08430387861951064,,,
2014-11-04,Tue,Control,9420,781,,,False,0.08290870488322717,,,
2014-11-04,Tue,Experiment,9427,743,,,False,0.0788161663307521,,,
2014-11-05,Wed,Control,9570,805,,,False,0.08411703239289446,,,
2014-11-05,Wed,Experiment,9633,808,,,False,0.08387833489048065,,,
2014-11-06,Thu,Control,9921,830,,,False,0.08366092127809696,,,
2014-11-06,Thu,Experiment,9842,831,,,False,0.08443405811826865,,,
2014-11-07,Fri,Control,9424,781,,,False,0.08287351443123939,,,
2014-11-07,Fri,Experiment,9272,767,,,False,0.08272217428817946,,,
2014-11-08,Sat,Control,9010,756,,,False,0.08390677025527192,,,
2014-11-08,Sat,Experiment,8969,760,,,False,0.08473631397034229,,,
2014-11-09,Sun,Control,9656,825,,,False,0.08543910521955261,,,
2014-11-09,Sun,Experiment,9697,850,,,False,0.08765597607507476,,,
2014-11-10,Mon,Control,10419,874,,,False,0.08388520971302428,,,
2014-11-10,Mon,Experiment,10445,851,,,False,0.08147438966012446,,,
2014-11-11,Tue,Control,9880,830,,,False,0.0840080971659919,,,
2014-11-11,Tue,Experiment,9931,831,,,False,0.08367737387977042,,,
2014-11-12,Wed,Control,10134,801,,,False,0.07904085257548846,,,
2014-11-12,Wed,Experiment,10042,802,,,False,0.07986456881099382,,,
2014-11-13,Thu,Control,9717,814,,,False,0.08377071112483277,,,
2014-11-13,Thu,Experiment,9721,829,,,False,0.08527929225388335,,,
2014-11-14,Fri,Control,9192,735,,,False,0.07996083550913838,,,
2014-11-14,Fri,Experiment,9304,770,,,False,0.08276010318142735,,,
2014-11-15,Sat,Control,8630,743,,,False,0.08609501738122827,,,
2014-11-15,Sat,Experiment,8668,724,,,False,0.08352561144439317,,,
2014-11-16,Sun,Control,8970,722,,,False,0.08049052396878484,,,
2014-11-16,Sun,Experiment,8988,710,,,False,0.0789942145082332,,,
